DJI_20211224092312_0125 H_34.99999_23.32763
7208 -2.97826 1.22807
7209 -2.79240 2.13722
7210 3.63762 2.06485
7211 14.13301 -1.48441
7212 14.91056 -0.80602
7213 0.11944 2.37534
7214 1.36422 3.52912
7215 2.91071 5.31442
7216 5.92995 5.35445
7217 -3.65184 3.67337
7218 8.93618 4.64113
7219 14.53970 -4.58364
7221 14.25530 -3.30373
7222 10.66307 -2.64203
7223 13.92052 -4.30920
7531 10.72001 -11.31474
7532 -9.34991 -6.66341
7533 10.52639 -1.32531
7534 -3.51313 1.03221
14578 10.70900 3.30717
-99
DJI_20211224092319_0130 H_34.99999_23.32763
5007 -15.74174 1.25964
5014 -4.74550 2.03287
5015 -12.15223 1.50126
5016 -12.85519 0.37909
5017 -9.02684 0.04502
5018 -6.19334 0.95489
5019 -16.56545 0.90483
5020 -16.22107 -1.17675
5021 -11.28941 -1.75868
5022 -15.22140 -1.92372
5023 -4.57912 -1.86846
5024 -7.58282 -1.70884
5025 15.62235 -5.44232
5029 -15.78656 -10.44565
5030 1.00460 -8.27064
5031 -2.25544 -8.86173
5032 -4.74134 -10.91588
5033 -3.71660 -9.42724
5034 1.47362 -8.77063
5036 -10.54807 -10.15250
5037 -9.09016 -8.19110
5038 -11.65033 -9.06697
5039 -11.95399 -8.12976
5041 -13.82694 -11.39943
5042 -14.62253 -11.48709
5043 -10.02395 -11.27583
5044 -10.33268 -11.39781
5046 -9.79546 -11.47405
5050 -15.91854 10.92712
5051 -15.01101 8.58903
5052 -8.71935 3.95074
5053 -6.91350 4.64878
5054 -7.56869 3.03652
5055 -5.38464 6.78834
5063 -12.79620 5.60778
5064 -11.16188 5.27194
5069 -10.72232 5.88690
5070 -12.19413 3.25570
5158 -8.61122 5.24526
5178 -14.10435 3.43161
5179 -16.29256 5.26649
5180 -7.69806 6.73088
5183 -6.71929 10.82571
5184 -6.36020 8.51811
5185 -12.09582 7.95400
5186 -8.85294 11.37099
5187 -11.32305 8.72828
5188 -10.24005 10.52442
5189 -13.79929 9.31700
5190 -12.99715 10.30885
5195 -6.53774 -5.13347
5196 -9.89509 -2.90097
5197 -8.31631 -4.13452
5198 -13.91758 -5.50338
5200 -13.08469 -5.75787
5204 -6.92284 -6.55104
5205 -3.64828 -4.48377
5590 -2.87310 -6.34627
5595 -2.03196 -9.51228
5596 -16.61899 -7.01027
5634 -4.16020 11.46139
5706 8.88635 -7.98601
6855 -3.80685 3.03478
6856 5.92523 -8.88150
6859 8.96825 -8.57112
6861 15.04447 -9.96155
6862 5.70249 -9.06236
6864 6.17876 -8.42448
6875 14.54270 -11.44940
6889 -3.66228 1.39100
6890 10.51568 -6.43636
6891 8.19613 -3.59290
6892 2.52242 -6.00756
6893 -2.19692 -5.85811
6894 2.68572 -3.41541
6895 6.43006 -4.42914
6896 -3.25453 -3.70901
6897 6.09615 -3.57761
6898 5.88517 -3.43506
6899 3.13485 -6.54725
6900 6.20606 -6.46985
6901 8.20492 -2.81576
6902 2.72560 -6.63054
6903 11.09435 -10.94439
6904 10.82011 -8.94896
6905 14.37871 -10.71776
6906 11.30330 -10.13735
6907 10.71497 -7.84638
7066 15.54260 4.78405
7067 16.60636 6.08472
7068 17.06087 5.03314
7069 11.50673 6.29406
7089 12.37242 11.54983
7091 15.05629 10.12621
7092 16.35523 11.29641
7093 11.43767 9.45572
7094 15.48109 9.94050
7095 14.69625 9.08662
7100 13.93493 5.22059
7101 15.22997 6.29977
7102 13.35179 5.57248
7103 13.88883 4.79696
