x,y,z,sx,sy,sz
717682.56,1606279.96,11.68,0.0345,0.0325,0.1440
717654.95,1606315.05,2.34,0.2162,0.0559,0.5517
717544.47,1606138.81,6.01,0.1428,0.0872,0.4745
717769.20,1606356.59,17.17,0.0823,0.1028,0.3027
717491.56,1606125.22,1.96,0.0181,0.0176,0.0708
717379.10,1605912.52,10.47,0.5309,0.7346,0.8469
717454.28,1606168.97,0.64,0.0454,0.0432,0.1735
717411.45,1605967.11,2.19,0.1472,0.1873,0.3516
717762.42,1606352.11,19.37,0.0745,0.0958,0.3090
717358.58,1605889.44,12.68,0.2840,0.3869,0.3838
717414.83,1606039.91,2.33,0.1722,0.1176,0.2821
717390.08,1606396.99,-7.95,0.1209,0.0670,0.4812
717634.66,1606246.57,6.00,0.0612,0.1175,0.4055
717374.74,1606419.28,5.78,0.1316,0.0267,0.3751
717583.49,1606180.25,7.72,0.0517,0.0416,0.1729
717568.39,1606198.66,13.58,0.0918,0.1088,0.4932
717396.65,1606382.97,14.42,0.0887,0.0879,0.3653
717461.81,1606405.42,5.97,0.1331,0.0934,0.8403
717389.83,1606401.57,1.07,0.2365,0.0987,0.8691
717370.61,1606405.57,15.31,0.4349,0.1286,1.0957
717605.40,1606204.88,16.57,0.0306,0.0415,0.2226
717575.79,1606179.26,11.49,0.0258,0.0571,0.1746
717384.19,1606445.15,11.98,0.1017,0.0519,0.3245
717373.79,1606440.08,10.33,0.2986,0.1059,0.8144
717343.67,1606290.91,5.00,0.0254,0.0241,0.1315
717336.75,1606302.13,7.97,0.0251,0.0151,0.1007
717265.26,1606446.49,1.65,0.1432,0.1724,0.2014
717396.80,1606026.72,1.35,0.2939,0.2023,0.4165
717458.75,1606405.29,11.41,0.0731,0.0570,0.4954
717517.42,1606411.09,11.51,0.0548,0.0447,0.2137
717622.04,1606164.86,15.31,0.0370,0.0174,0.2347
717457.48,1606230.21,14.74,0.0163,0.0157,0.0614
717616.63,1606156.73,14.37,0.0332,0.0246,0.2427
717640.50,1606193.17,4.89,0.0281,0.0196,0.0856
717432.77,1606285.66,14.70,0.0153,0.0137,0.0849
717553.65,1606189.10,12.52,0.0290,0.0399,0.1166
717623.85,1606193.35,15.60,0.0775,0.0758,0.4490
717608.71,1606269.31,18.27,0.0322,0.0350,0.1497
717588.84,1606238.55,4.79,0.0185,0.0175,0.0891
717585.34,1606208.87,5.48,0.0131,0.0173,0.1058
717576.98,1606224.33,4.77,0.0127,0.0128,0.0516
717634.02,1606233.41,4.84,0.0673,0.0322,0.2215
717582.04,1606296.39,16.59,0.0486,0.0156,0.1214
717562.65,1606226.96,5.00,0.0107,0.0131,0.0498
717570.72,1606230.72,4.88,0.0216,0.0217,0.1527
717451.90,1606439.99,11.67,0.0349,0.0273,0.2098
717663.45,1606231.56,4.52,0.0359,0.0253,0.1077
717665.56,1606233.08,4.68,0.0778,0.0558,0.2346
